name,company,location,salary,industry,type,skills
Brands Acquisition Associate,Dropee,Malaysia,Negotiated,Business Development,Full-Time,Business Development | Partnerships | Lead Generation | Acquisition | Business Acquisition | Sales
Digital Marketing Executive,Boxme Malaysia Sdn Bhd,Malaysia,Negotiated,Marketing | Public Relations,Full-Time,Content Marketing | Facebook Ads | Digital marrketing
Brands Operation Executive,Dropee,Malaysia,1000 - 1300 SGD,Customer Service | Project Management | Others,Full-Time,Time management | Critical Thinking | Analytical Thinking | Operations | Project Management
Programme Associate,StartupX,Singapore,Negotiated,Project Management,Full-Time,Event Management | writing | Proposals | Pitch Decks | Project Management
Enrichment Lego Robotics Coding Invention Instructor - Teacher,WondersWork,Singapore,Negotiated,Others,Part-Time | Freelance | Internship | Temporary | Contract,no skills
Marketing and Social Media Associate,StartupX,Singapore,Negotiated,Design | Marketing | Editorial,Full-Time,Poster Creation | SEO/SEM | EDM | Marketing content | Social Media
Corporate Innovation Manager,StartupX,Singapore,Negotiated,Business Development | Corporate Support | Others,Full-Time,Business Development | Pitching | Client relation | Corporate Image
Brands Engagement Associate,Dropee,Malaysia,1000 - 1300 SGD,Business Development | Corporate Support | Marketing,Full-Time,Account Management | eCommerce | Client Management | Brand Management | Corporate Support
Branding and Marketing Sales Manager,Dinez In Online Sdn Bhd,Malaysia,Negotiated,Marketing,Full-Time,Creativity and the ability to think out of the box | Copywriting skills | Graphic design | Social media management | Digital sales generation | Digital marketing campaign management | Branding and marketing skills
Backend Developer - Phyton - Jakarta,Dploy Asia,Indonesia,6000000 - 12000000 IDR,Back-End Developers,Full-Time,Phyton
HR Assistant,Datesmith,Singapore,Negotiated,Business Development | Customer Service | Public Relations | Project Management | Others,Full-Time | Internship | Temporary | Contract,Compensation & Benefit | Onboarding | Staffing | Employee Relation | Operations | Recruitment | Payroll | Executive | Administration | HR | Human Resources
Full Stack Developer - Yogyakarta,Dploy Asia,Indonesia,6000000 - 10000000 IDR,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,vue js | node js | angular js
IT Analyst,Tourego,Singapore,2500 - 5000 SGD,Design | Project Management | System Software Analyst,Full-Time,Project Management | Technical Writing
Business Analyst,AppFactorie,Philippines,Negotiated,Analytics | System Software Analyst,Full-Time | Contract,Process modeling skills | Business structure knowledge | Problem solving | analytical skills
UX Designer,Lomotif,Singapore,3500 - 4500 SGD,UI/UX,Full-Time,Sketch | Figma
Business Development Manager/Executive,Kinnetik Pte Ltd,Singapore,1200 - 5000 SGD,Business Development,Full-Time,Business Development | Sales
Operations Admin,Earnest and Collective Pte Ltd,Singapore,1900 - 2300 SGD,Others,Full-Time,Order Fulfilment | Customer Support | customer experience | Inventory Management | Customer Service | Operations
Growth Hacker Intern,Novocall,Singapore,600 - 1000 SGD,Marketing,Internship,Growth Hacking | Digital Marketing
Operations Intern,Lumen Lab (HK) Ltd,Hong Kong,Negotiated,Others,Part-Time | Internship,operations | logistic
Digital Marketing Intern,Novocall,Singapore,600 - 1000 SGD,Marketing,Internship,Content Marketing | Content Writing | Digital Marketing
Business Development Executive (Philippines) Remote Available,TripZilla,Philippines,Negotiated,Business Development,Full-Time,Business Development | Sales
Technical Lead,42Race,Singapore,5000 - 8000 SGD,Full-stack Developer | Project Management | Others,Full-Time,Cloud computing architecture
Game Designer,gumi Asia Pte Ltd,Singapore,Negotiated,Design,Full-Time,Game Design
Product Analyst / Manager,Spaceship,Singapore,Negotiated,Corporate Support | Front-End Developers | Project Management | System Software Analyst,Full-Time,Product Management
Telesales Executive,Everus Technologies Sdn Bhd,Malaysia,Negotiated,Business Development | Corporate Support | Customer Service | Marketing,Full-Time | Part-Time | Contract,indonesian | thai | tagalog | marketing | Call Centre | Telesales | Business development | customer support | Sales
"Executive, Public Relations",GlobalTix Pte Ltd,Singapore,Negotiated,Marketing | Public Relations,Full-Time,Marketing Communications; Public Relations
Marketing Executive,BlackBook World,Singapore,Negotiated,Marketing,Full-Time,digital marketing | seo | sem | social media | content marketing | copywriting and editing | PR
Business Development Executive,Ematic Solutions,Malaysia,Negotiated,Business Development,Full-Time,Digital Marketing | Sales | Business Development | Accounts Management
IT/Programming Internship,Moving Walls Sdn Bhd,Malaysia,165 - 231 SGD,Full-stack Developer | Front-End Developers | Back-End Developers | Software-system Administrator | Big Data,Internship,OOP | Python | Java
Internship for Islamic Finance & Syariah Robo Advisor,Wahed Invest,Malaysia,Negotiated,Investment,Internship,Bahasa | English | Finance | Accounting | Maths | Calculation | Excel | Presentation | Writing | Google Suite
IT Project Manager (Remote) Remote Available,42Race,Philippines,Negotiated,Project Management,Full-Time,IT Project Management | Process Development | Quality Assurance
Business Development Consultant (B2B) - Singapore,Archibazaar,Singapore,Negotiated,Business Development | Marketing,Full-Time | Freelance | Contract,Sales | Marketing | B2B Sales
Media Planner,Moving Walls Sdn Bhd,Malaysia,Negotiated,Business Development | Marketing,Full-Time | Contract,Proposals | Pre Sales | Advertising | OOH | Ad-tech
Software Product Delivery Manager,Arcadier,Philippines,800 - 1200 USD,Project Management | Architect | Others,Full-Time,Slack | JIRA | delivery management | project management | product management
Media sales consultant,Daily Vanity,Singapore,3000 - 5000 SGD,Business Development | Marketing,Full-Time,marketing | advertising | sales
Supply Side - Business Development Executive,Moving Walls Sdn Bhd,Malaysia,Negotiated,Business Development,Full-Time | Internship | Contract,Ad-Tech | Communication | Negotiation
Business Operations Intern,GroupStar,Singapore,Negotiated,Corporate Support | Customer Service | Project Management,Internship,Able to work well in fast-paced environment | Able to multi-task | Great communication skills
Internship (Graphic Design & Media Marketing) Remote Available,Bwondr,Singapore,650 - 850 SGD,Marketing,Internship,videography | copywriting | social media marketing | Content Creation | Graphic Design
Sales Executive,Ematic Solutions,Taiwan,Negotiated,Business Development,Full-Time,CRM | Account Management | Business Development | Sales
Online Marketing Analyst,Sejasa,Indonesia,6000000 - 8000000 IDR,Analytics | Marketing,Full-Time,SEM | Google Ads | Facebook Ads | online marketing
Software Engineer (Front-end),Oromico,Singapore,3500 - 4500 SGD,Front-End Developers,Full-Time,CSS | HTML | JAVASCRIPT
Community Manager,Spaceship,Singapore,Negotiated,Business Development | Corporate Support | Marketing | Public Relations,Full-Time,Community Management | Business Development | Marketing | Branding | Partnerships
Software Engineer,Advanx Health,Malaysia,Negotiated,Full-stack Developer | Front-End Developers | Back-End Developers | Software-system Administrator,Full-Time,Software Development | Web Development | Database Management | HTML/CSS | Ruby on Rails | Postgresql | Javascript | Cloud Computing
Digital Designer,Finology Sdn Bhd,Malaysia,Negotiated,Design | UI/UX,Full-Time | Freelance | Contract,Design | UI/UX | Adobe | Illustrator | Figma
Android - Mobile Developer Remote Available,Mobile 9,Malaysia,1000 - 2000 SGD,Analytics | Full-stack Developer,Full-Time | Freelance | Contract,RESTful | HTTP | JSON | API | Javascript (Titanium Framework) | JAVA | Android
Web - Mobile Developer,Mobile 9,Malaysia,656 - 1969 SGD,Full-stack Developer,Full-Time | Part-Time | Freelance | Contract,html | css | [hp | java | javascript
PHP Developer,Mobile 9,Malaysia,1000 - 2000 SGD,Design | Technical Support | Full-stack Developer | Back-End Developers | Software-system Administrator | System Software Analyst,Full-Time | Freelance | Contract,MYSQL | PHP | DATABASE
Project Manager,Mobile 9,Malaysia,Negotiated,Analytics | UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers | Project Management,Full-Time | Contract,UI DESIGN | AJAX | Javascript | JAVA | PHP | CSS | HTML
Digital Marketing Strategist (Remote Work Available),Mobile 9,Malaysia,1000 - 2000 SGD,Analytics | Corporate Support | Customer Service | Marketing | Editorial,Full-Time | Freelance | Contract,digital marketing | market research | media advertising | strategic planning | public relations | copy-writing | Internet Marketer | google analytics | social media | marketing
Sales & Marketing Manager,Mobile 9,Malaysia,1000 - 2000 SGD,Analytics | Business Development | Corporate Support | Customer Service | Marketing | Public Relations | Editorial,Full-Time | Contract,internet marketer | Marketing | IT support | sales | product analysis | customer service | social media
Web - Mobile Developer,MooCash,Malaysia,2000 - 6000 SGD,Full-stack Developer,Full-Time | Part-Time | Freelance | Contract,javascript | css | php | html | java
Android - Mobile Developer Remote Available,MooCash,Malaysia,1000 - 2000 SGD,Full-stack Developer | Software-system Administrator | System Software Analyst,Full-Time | Freelance | Contract,RESTFUL WEB SERVICE | HTTP | JSON | API | TITANIUM FRAMEWORK | JAVA | ANDROID
Front-End Developer,MooCash,Malaysia,1000 - 2000 SGD,Technical Support | UI/UX | Full-stack Developer | Front-End Developers | Software-system Administrator | Project Management | System Software Analyst,Full-Time | Freelance | Contract,SOFTWARE | DATABASE | HTML5 | UI/UX | UI DESIGN | JAVASCRIPT | CSS | HTML
Social Media Strategist Remote Available,Mobile 9,Malaysia,1000 - 1500 SGD,Analytics | Business Development | Corporate Support | Customer Service | Marketing | Public Relations | Editorial,Full-Time | Freelance | Contract,DIGITAL MARKETING | GOOGLE ANALYTIC | MARKET RESEARCH | COPY -WRITING | PR | PUBLIC RELATION | STRATEGIC PLANNING | MEDIA ADVERTISING | INTERNET MARKETER
Product Manager,Mobile 9,Malaysia,1000 - 2000 SGD,Analytics | Business Development | Corporate Support | Public Relations | Project Management | Big Data | Editorial,Full-Time | Contract,MARKET STRATEGY | MARKET RESEARCH | TECHNICAL SAVVY | PRODUCT DEVELOPMENT | DATA ANALYSIS | ANALYTICS
Back-End Developer,MooCash,Malaysia,1000 - 2000 SGD,Design | Technical Support | Full-stack Developer | Back-End Developers | Software-system Administrator | System Software Analyst,Full-Time | Freelance | Contract,SOFTWARE | MYSQL | DATABASE | PHP
Web - Mobile Developer,Appzilo,Malaysia,2000 - 6000 SGD,Back-End Developers,Full-Time | Part-Time | Freelance,javascript | java | php | css | html
Digital Marketing Strategist Remote Available,MooCash,Malaysia,1000 - 1500 SGD,Analytics | Business Development | Corporate Support | Customer Service | Marketing | Public Relations | Project Management | Editorial,Full-Time | Freelance | Contract,DIGITAL MARKETING | GOOGLE ANALYTIC | MARKET RESEARCH | COPY-WRITING | PR | PUBLIC RELATIONS | STRATEGIC PLANNING | MEDIA ADVERTISING | INTERNET MARKETER
Android - Mobile Developer Remote Available,Appzilo,Malaysia,1000 - 2000 SGD,Technical Support | UI/UX | Full-stack Developer | Software-system Administrator | System Software Analyst,Full-Time | Freelance | Contract,AJAX | JAVA | ANDROID | TITANIUM FRAMEWORK | API | JSON | HTTP | RESTFUL WEB SERVICE
Digital Marketing Strategist (Remote Work Available) Remote Available,Appzilo,Malaysia,1000 - 2000 SGD,Analytics | Business Development | Corporate Support | Customer Service | Marketing | Public Relations | Project Management | Editorial,Full-Time | Freelance | Contract,DIGITAL MARKETING | GOOGLE ANALYTIC | MARKET RESEARCH | COPY WRITING | PR | PUBLIC RELATIONS | STRATEGIC PLANNING | MEDIA ADVERTISING | INTERNET MARKETER
Full Stack Software Developer,TenderBoard,Singapore,Negotiated,Full-stack Developer,Full-Time,reactjs | nodejs | php | software | programming | git | javascript
Senior Graphic Designer,SIXDAYS sdn bhd,Malaysia,Negotiated,Customer Service | Design | Marketing,Full-Time | Contract,"Good sense in art, layouts, typo and concept | Knowledge in all design softwares"
Sales & Marketing Manager,Appzilo,Malaysia,2000 - 5000 SGD,Marketing,Full-Time,social media | customer service | product analysis | sales | IT support | marketing | internet marketer
Business Development Specialist,Zwoo Mobile Pte Ltd,Singapore,2000 - 3500 SGD,Business Development,Full-Time,negotiation skills | communication skills | business development
Marketing Graphic Designer,Regional Press,Singapore,1600 - 2800 SGD,Design,Full-Time,out of box thinking | advertising | layout | keen eye for details | rebrand | design | creative thinking | copywriting | typograpiy | multitasking | communication | marketing | planning | visual communication | teamwork | production | microsoft excel | microsoft powerpoint | microsoft office | adobe design | adobe illustrator | adobe photoshop
PHP Developer Remote Available,Appzilo,Malaysia,1000 - 2000 SGD,Analytics | Technical Support | Full-stack Developer | Back-End Developers | Software-system Administrator | System Software Analyst,Full-Time | Freelance | Contract,SOFTWARE | DATABASE MYSQL | PHP
Operations Intern,Kaodim Sdn Bhd,Malaysia,Negotiated,Customer Service | Public Relations,Internship,communication skills
Product Manager,Appzilo,Malaysia,1000 - 2000 SGD,Analytics | Business Development | Corporate Support | Customer Service | Technical Support | Public Relations | Project Management,Full-Time | Contract,MARKET RESEARCH | MARKET STRATEGY | TECHNICAL SAVVY | PRODUCT DEVELOPMENT
Product Manager,MooCash,Malaysia,1000 - 2000 SGD,Analytics | Business Development | Corporate Support | Customer Service | Technical Support | Public Relations | Project Management,Full-Time | Contract,MARKET RESEARCH | MARKET STRATEGY | TECHNICAL SAVVY | PRODUCT DEVELOPMENT
Accounting Assistant,Reginaa Pte Ltd,Singapore,Negotiated,Others,Part-Time | Freelance | Internship,Accounting
Frontend Lead (Singapore),The Oddle Company,Singapore,Negotiated,Front-End Developers,Full-Time,React | Redux | CSS | HTML | Javascript
Accounts and Admin Executive,TenderBoard,Singapore,2000 - 3500 SGD,Corporate Support,Full-Time,support | administration | accounting | finance
Special Projects Analyst Featured,Spaceship,Singapore,Negotiated,Analytics | Business Development | Marketing,Full-Time,Competitive Landscape Analysis | Financial Modelling | Strategy
Junior/Mid Full-stack Developer,ProfilePrint,Singapore,3500 - 5000 SGD,Full-stack Developer,Full-Time,TECH | CSS | JAVASCRIPT | IT | PROGRAMMING | AZURE | VUE.JS | NODE.JS | SQL | PHP | C# | HTML | coding
Group Accountant,The Luxe Nomad,Malaysia,Negotiated,Others,Full-Time,Bank reconciliation | Deliver to tight deadlines | Ability to work with large data set | Strong communication skills | Highly organised | Accounts payable experience | High attention to detail | Team player | Accounting | Process improvement
Junior Full-stack developer,Reflaunt,Singapore,3500 - 5500 SGD,Full-stack Developer,Full-Time,Amazon Web Services (AWS) | MongoDB | Html5 & Css3 | Angular | Typescript | PostgreSQL | Express.js | ReactJS | NodeJs
Freelance Graphic Designer Remote Available,42Race,Malaysia,Negotiated,Design,Freelance,Adobe Illustrator | Adobe Photoshop | Adobe InDesign
Mobile Application Developer (Android),Inmagine,Malaysia,Negotiated,Others,Full-Time,Android application development | Android SDK
Support Technician,Kelare Technologies Pte. Ltd.,Singapore,Negotiated,Corporate Support | Customer Service | Technical Support | Software-system Administrator,Full-Time,customer support | analytical | writing | communication | Problem solving
Finance Executive,Nuren Group,Malaysia,Negotiated,Corporate Support,Full-Time,account payable | account receivable | accounting & finance
ASSOCIATE TRAINERS,EP-Tec Store,Singapore,Negotiated,Others,Full-Time | Part-Time,School | Training | Teacher | Education | STEM
UI UX DESIGNER,CoinGecko,Malaysia,1000 - 1500 USD,Back-End Developers,Full-Time,cryptocurrency | css | Adobe Creative Suite | Sketch
Web Developer,iZyoo Platform Sdn Bhd,Malaysia,Negotiated,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,"PHP, MySQL, AJAX, REST API, SOAP, HTML, JavaScript, CSS"
Software Developer,SmartRx Pte Ltd,Singapore,Negotiated,Analytics | Technical Support | UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers | Software-system Administrator | System Software Analyst,Full-Time,Java | Spring | SQL | Android | IOS
Junior Back End Developer,Urbanmetry,Malaysia,Negotiated,Back-End Developers,Full-Time,Software Engineering | Relational Databases | Linux | SQL | Ruby | Python | Ruby on Rails (RoR) | AWS
Business Development Associate,MrSpeedy Malaysia,Malaysia,Negotiated,Business Development,Full-Time,Business Development | Sales
Communications Intern,Kaodim Sdn Bhd,Malaysia,Negotiated,Design | Marketing,Internship,Adobe Premier | Adobe Photoshop
Ecommerce Manager,One Animation Pte Ltd,Singapore,Negotiated,Marketing | Others,Full-Time,Amazon | E-Commerce | SEO/SEM | Google Adwords | digital marketing
Sales Executive,Rainbow Distribution Sdn Bhd,Malaysia,Negotiated,Business Development,Full-Time,Good Negotiation Skills | Fast Learner | Independent | Highly Motivated | Good Customer Service Skills | Good Salesmanship
Database Administrator Featured,Xtremax Pte Ltd,Singapore,Negotiated,Software-system Administrator,Full-Time,applications | database | organisational | analytical | Accuracy | MSSQL | Oracle
Junior Interior Design Manager,COMMONTOWN,Singapore,Negotiated,Design | Project Management | Architect,Full-Time,Adobe Creative Suites | SketchUP | AutoCAD | Architecture | Interior Design
Business Management Associate,One Animation Pte Ltd,Singapore,Negotiated,Business Development | Corporate Support | Marketing | Project Management | Others,Full-Time,Organisational Skills | Project Management
Project Manager (Digital Media) Featured,Nuren Group,Malaysia,Negotiated,Analytics | Business Development | Project Management,Full-Time,campaign management | project management | digital marketing
Operation Manager / Executive (Event),Nuren Group,Malaysia,Negotiated,Business Development | Marketing | Project Management,Full-Time | Contract,event planning | operation management | event management
APAC Business Development Manager,OnTheList,Singapore,Negotiated,Business Development,Full-Time,presentation skill | interpersonal skill | communication skill | well organised
IMMEDIATE HIRING : FULL TIME UX DESIGNER,AVANA,Malaysia,Negotiated,UI/UX | Front-End Developers,Full-Time,JS FrameworkS | jQuery | JAVASCRIPT | CSS | HTML
MARKETING INTERN,AVANA,Malaysia,Negotiated,Marketing,Internship,communication skills | MS Office | Google Suite | fast learner
IMMEDIATE HIRING : FULL TIME LEAD MOBILE DEVELOPER,AVANA,Malaysia,Negotiated,Back-End Developers,Full-Time,IOS | ANDROID
FRONTEND DEVELOPER (UX) - IMMEDIATE HIRING SELANGOR,AVANA,Malaysia,Negotiated,Front-End Developers,Contract,HTML | CSS | FRAMEWORK | JAVASCRIPT | JS FRAMEWORKS | JQUERY | PIXEL
IMMEDIATE HIRING : PRODUCT MANAGER,AVANA,Malaysia,Negotiated,Analytics | Corporate Support | Project Management | Big Data,Full-Time,MULTITASKING | PRODUCTION MANAGEMENT | PRODUCT MANAGER
User Interface Artist,gumi Asia Pte Ltd,Singapore,2200 - 3000 SGD,Design | UI/UX,Full-Time,Adobe Illustrator | Adobe Photoshop
React/Ruby on Rails Developer,GoGet.my,Malaysia,Negotiated,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,Progressive Web App | PWA | React.js | React | Ruby on Rails | Ruby | Web development
IMMEDIATE HIRING : Accounts & Finance Manager,AVANA,Malaysia,Negotiated,Others,Full-Time,forecasting | budgetting | financing | accounting
Inside Sales Associate Featured,The Oddle Company,Singapore,2500 - 5000 SGD,Business Development,Full-Time,Sales
Flutter Mobile Developer,GoGet.my,Malaysia,Negotiated,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,Mobile Development
Business Operations (Philippines),Petbacker,Philippines,Negotiated,Business Development,Full-Time | Contract,hard work | ready to work oversea | sales experience
Business Development Executive,Botbot.AI,Singapore,3500 - 4000 SGD,Analytics | Customer Service | Design | Marketing,Full-Time,Project management | Communication | Sales | Marketing
Human Resource Administrator,The Luxe Nomad,Malaysia,Negotiated,Others,Full-Time,Strong Communication Skills | High Attention to Details | Highly Organized | Team Player | Microsoft Office Skills | Administration | Management | Employee Welfare | Payroll | people management | human resources
"Intern, Branding & Marketing",Maverick Moment,Malaysia,Negotiated,Design | Marketing,Full-Time | Internship,Branding and Marketing | Graphic Design | Content Creation | Marketing | Creative | Copywriting
COMMUNITY & CUSTOMER SUCCESS EXECUTIVE [Customer Success],AVANA,Malaysia,Negotiated,Customer Service,Full-Time,communication | writing | negotiation
IMMEDIATE HIRING : SysOps / Infra Eng,AVANA,Malaysia,Negotiated,Full-stack Developer | Back-End Developers | Software-system Administrator | System Software Analyst | Big Data,Full-Time,cloud | aws | phyton | bash | Systems Engineering
Internship,EasyWork Asia Sdn. Bhd.,Malaysia,200 - 200 USD,Marketing,Internship,microsoft
Digital Sales Consultant/ Senior Sales Manager,Republic Asia,Singapore,1800 - 4200 SGD,Business Development,Full-Time,Sales | Business Development
INTERIOR DESIGN PROJECT/ADMIN ASSISTANT FOR A GROWING STARTUP!,Home Philosophy,Singapore,2000 - 3000 SGD,Design,Full-Time,sales | writing | communication | interior | design
Content and Social Media Associate,StartupX,Singapore,Negotiated,Design | Marketing | Editorial | Others,Full-Time,Marketing Executive | Marketing | Instagram | Facebook | Copywriting | Editing | Content curation | Social Media
Storyboard Artist,One Animation Pte Ltd,Singapore,Negotiated,Design | Others,Full-Time,illustration
Business Development (Philippines),Petbacker,Malaysia,Negotiated,Business Development | Customer Service | Marketing | Project Management,Full-Time | Part-Time | Freelance | Internship | Temporary | Co-Founder | Contract,Customer Support | Customer Experience
Branding & Marketing Manager,Maverick Moment,Malaysia,Negotiated,Analytics | Design | Marketing,Full-Time,Market Research | Content Creation | Photoshop | Marketing | Copywriting | Graphic Design | Branding and Marketing
"Assistant Manager, Finance",GlobalTix Pte Ltd,Singapore,Negotiated,Others,Full-Time,ACCA; Accounting Software
Internship,Jetspree Sdn Bhd,Malaysia,Negotiated,Others,Internship,Good Excel skills
Sales Intern,Omnilytics,Malaysia,Negotiated,Business Development,Internship,Market Research | Sales | Business Development | Sales Lead Generation
Community Lead,StartupX,Singapore,Negotiated,Business Development | Corporate Support | Marketing | Public Relations | Editorial | Others,Full-Time,Community Campaign | Hubspot | Marketing Executive | Social Media | EDM | Marketing | Community engagement
Security Researcher,4X Software Sdn Bhd,Malaysia,Negotiated,System Software Analyst,Full-Time,"OWASP Top 10 | Burp Suit and Metasploit | HackerOne, Bugcrowd, and Cobalt | OSCP, CEH, Security+, CISSP, or any GIAC certification | Web Testing | Intrusion Detection | Web Application Security | Security Monitoring | Fuzzing | Pentesting"
"Sales Executive - Hospitality, Property Management Featured",BUTLER,Singapore,2500 - 3000 SGD,Business Development,Full-Time,business development | b2c | b2b | sales
Software Engineer - Full Stack,Jetspree Sdn Bhd,Malaysia,Negotiated,Full-stack Developer,Full-Time,JavaScripts | PostgreSQL | React | CSS3 | Git
Creative PR Executive (Internship),The PR Salon,Singapore,850 - 1000 SGD,Design | Marketing | Public Relations | Editorial,Freelance | Internship,social media management | microsoft office | adobe suite | copywriting
Intern HR Admin,DOKU,Indonesia,750000 - 1000000 IDR,Corporate Support,Internship,"Administrative | Ms. Office (Word, Excel)"
Senior Full Stack Developer,FutureLab,Malaysia,Negotiated,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,React js | Ruby on Rails | Express.js | Node.js | Django
Senior Front-end Developer,Lexagle,Singapore,5000 - 8000 SGD,Front-End Developers,Full-Time,GraphQL | RESTful | SASS/LESS | Gulp | Grunt | NPM | Computer Science | Javascript | HTML | CSS | API | UI
Junior Implementation Engineer,Ematic Solutions,Vietnam,Negotiated,Back-End Developers,Full-Time,Analytical | NodeJS | PHP | RESTful API | Laravel | Javascript | HTML | SQL
Looking for SAP Professionals,Quess Global,Malaysia,Negotiated,Others,Contract,SAPMM | SAPFICO | SAPSD | SAPPP | FICO | SAPBI | SAPBW
Data Analyst Intern,Kaodim Sdn Bhd,Malaysia,Negotiated,Analytics | Software-system Administrator | Hardware System Administrator | System Software Analyst | Big Data,Internship,data analysis | analytical skills | presentation skills | Communication skills | Python
Partnerships Manager,Flyspaces,Singapore,3000 - 5000 SGD,Business Development | Customer Service,Full-Time,Real Estate | Acquisition | Partnership | Sales | Customer Success
Product Manager,Omnilytics,Malaysia,Negotiated,Analytics | UI/UX | Project Management | Big Data,Full-Time,User Research | Prototyping | Software Lifecycle Management | Product Ownership | Product Vision | Usability Testing
Mid-level React Native Developer,Upstack Studio,Malaysia,2000 - 2500 SGD,Front-End Developers,Full-Time,Javascript | Github | Git | ES6 | JSX | REST API | React Native Navigation | React Navigation | Xcode | Android Studio | Redux Saga | Redux | ReactJS | React Native
Account Manager,Ematic Solutions,Thailand,Negotiated,Analytics,Full-Time,Digital Marketing | Google Analytics | Account Management
Brand Ambassador,ProfilePrint,Singapore,800 - 1200 SGD,Customer Service,Internship,Good communication skills | Hardworking
Procurement Executive,TenderBoard,Singapore,2500 - 3500 SGD,Corporate Support | Customer Service | Technical Support,Full-Time,support | purchasing | procurement
Motion & Graphic Designer,Ematic Solutions,Malaysia,Negotiated,Design,Full-Time,Adobe Illustrator | Graphic Design | Motion Design
Junior Customer Success Manager,Ematic Solutions,Taiwan,Negotiated,Analytics | Business Development,Full-Time,Business Development | Account Management | Analytical | Revenue | Customer Onboarding
Warehouse Assistant,Bakenet Pte Ltd,Singapore,1100 - 1700 SGD,Others,Full-Time | Part-Time,Packing | Warehouse
Mid-level ReactJS Developer,Upstack Studio,Malaysia,2000 - 2500 SGD,Front-End Developers,Full-Time,Github | Git | ES6 | JSX | REST API | Redux | Redux Saga | ReactJS
Part time Operations Specialist,Caterspot,Malaysia,150 - 200 USD,Customer Service,Part-Time,Critical Thinking | Spoken and Written English | Multi-task | Due Diligence | Attention to Details
Project Management Executive to Create a Real Impact Featured,Buy1GIVE1 Pte Ltd,Singapore,2600 - 3200 SGD,Project Management,Full-Time,Fast Learner of Systems and Tools | Great Writing and Communication Skills | Problem Solver
Sales and Business Development Associate,Flyspaces,Singapore,2500 - 4000 SGD,Business Development,Full-Time,Sales | Client management | Business Development | Real estate market knowledge
People Services Executive,ShopBack,Singapore,Negotiated,Corporate Support | Customer Service | Technical Support | Public Relations | Project Management | Others,Full-Time | Contract,People Services | HR | Events planning
Product Designer Featured,Seedly,Singapore,3500 - 5000 SGD,UI/UX,Full-Time,sketch | user interview | user research | ui/ux | ux | ui
Senior Odoo Developer,Soda In Mind,Indonesia,17500000 - 22500000 IDR,Others,Full-Time,Odoo
Food Program Coordinator for food-tech start-up,CaterSpot,Singapore,2300 - 2500 SGD,Project Management | Others,Full-Time,project management | data analytics | english | communication | analytical skills
Mid-level Ruby on Rails Developer,Upstack Studio,Malaysia,2000 - 3000 SGD,Full-stack Developer,Full-Time,Ruby on Rails | Ruby | Haml | Rspec | Capybara | TDD
Senior Software Engineer Featured,Seedly,Singapore,6000 - 8000 SGD,Full-stack Developer | Front-End Developers | Back-End Developers | Software-system Administrator,Full-Time,software engineering | software development | react | ruby | rails | reactjs | react.js | ruby on rails
Software Developer (Jakarta),Arcstone Pte Ltd,Indonesia,5000000 - 15000000 IDR,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time | Contract,WPF | VB.NET | C# | ASP.NET MVC | Entity Framework | OOP | SOLID Principles | Design Patterns | WCF | SQL Server | Fluent English | Fluent Bahasa Indonesia
Senior Mobile Developer-Android,PT Inspirasi Karya Bangsa,Indonesia,15000000 - 25000000 IDR,Front-End Developers,Full-Time,java | android studio | kotlin
Copier Service Supervisor,Mclink Asia Pte Ltd,Philippines,Negotiated,Technical Support,Full-Time,Reparing | Servicing | Printer | Copier
Senior Web Developer,Edge Digital,Singapore,Negotiated,Full-stack Developer | Front-End Developers,Full-Time,ASP.NET | React.js | Javascript | CSS | HTML | Web Development
General Manager (Thailand),GlobalTix Pte Ltd,Thailand,Negotiated,Business Development | Others,Full-Time,english | Management | leadership | sales-driven
Business Development Intern,Park N Parcel,Singapore,500 - 1000 SGD,Business Development | Corporate Support,Internship,Operation | Marketing
IT Engineer,Mclink Asia Pte Ltd,Philippines,Negotiated,Technical Support | Software-system Administrator,Full-Time,Networking | Software | Troubleshooting
Intern,Autrics,Malaysia,120 - 120 USD,Analytics | Customer Service | Marketing | Project Management,Internship,Fluent in English | Fast Learning | Self-driven
Business Development Manager,TenderBoard,Singapore,Negotiated,Business Development | Marketing,Full-Time,marketing | sales | product | strategy | business development
Videographer,Little Big Media,Singapore,2000 - 2500 SGD,Others,Full-Time,Premiere Pro | Photoshop | After Effects
Key Sales Executive,Boxme Global Group,Malaysia,900 - 1500 USD,Analytics | Business Development | Corporate Support | Customer Service | Design | Marketing | Technical Support | Public Relations | UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers | Software-system Administrator | Hardware System Administrator | Project Management | System Software Analyst | Architect | Big Data | Investment | Editorial | Others,Full-Time,Sales | Key Sales | Communication | Cross-sale | Deal | E-logistic | E-commerce | Adapatable | Individual
"Manager, Regional Business Development & Supplier Partnerships",GlobalTix Pte Ltd,Thailand,Negotiated,Business Development,Full-Time,negotiation skills; | account servicing
